doc_id,datetime,text,media,alt_text,likes,reposts,replies,username,handle,user_description,user_image,user_followers,commented_post,sponsored,target,condition,sequence
75,05.04.26 08:04,Get ready for a flavor-filled cooking adventure at one of our many locations nationwide! Reserve your spot for an activity full of excitement.,https://i.ibb.co/fdV3f2BC/RS-Neutral-ad-1.jpg,,745,89,34,Eventsy,Eventsy,For all your events,https://i.ibb.co/twtsThHs/Brand-1-Eventsy-logo.png,126000,0,1,,NNCHL,4
76,05.04.26 08:04,An investment in knowledge always pays the best interest. - Benjamin Franklin,,,32,10,2,Great Minds Quotes,GreatestQuotes,"A collection of quotes that will challenge, motivate and inspire you. Compiled by Sinéad Duffy",https://i.ibb.co/mCJ2Yymb/Great-Minds-Quotes-logo.png,3800000,0,0,,NNCHL,5
77,05.04.26 08:05,"Today's #RecordOfTheDay Record is ""Tell Me"" by Louis Oliver  https://bit.ly/4qbYvy0",https://i.ibb.co/G3ng37Rt/Record-of-the-Day-post-1.jpg,,0,0,0,Record of the Day,RecordOfTheDay,In tune. Informed. Indispensable. Essential music industry news and a future hit every day. Take a free trial to discover more.,https://i.ibb.co/7NCgdGRC/Record-of-the-Day-logo.jpg,24700,0,0,,NNCHL,6
78,05.04.26 08:06,What's the most underrated food city?,,,10,4,9,Tripadvisor,Tripadvisor,"Whatever trip you’re planning, we’ve been there.",https://i.ibb.co/PspKB3MJ/Tripadvisor-logo.jpg,3000000,0,0,,NNCHL,7
79,05.04.26 08:06,This dog just gave birth to 9 puppies. This is her proud face. Please send her your love. ❤️,https://i.ibb.co/j97MVhMy/Tweets-of-Dogs-post-1.jpg,,1300,105,121,Tweets of Dogs,TweeetsOfDogs,"Welcome to the ""Tweets of Dogs"" This is a place to share your animal love!",https://i.ibb.co/yBV4YwR6/Tweets-of-Dogs-logo.jpg,152800,0,0,,NNCHL,8
80,05.04.26 08:02,"In this image from our archive, winter creates a landscape of frosty perfection in the High Peaks region of Adirondack Park, New York.",https://i.ibb.co/Vpc03G2f/National-Geographic-post-2.jpg,,538,100,23,National Geographic,NatGeo,Inspiring the explorer in everyone 🌎,https://i.ibb.co/rKDyYRmM/National-Geographic-logo.jpg,27600000,0,0,,NSBLL,1
81,05.04.26 08:03,Garlic Parmesan Shrimp Bake 🍤,https://i.ibb.co/JW0PF3Wy/Food-Pleaser-post-2.jpg,,630,73,14,Food Pleaser,FoodPleaser,"Pleaser of the Palate. Food photos & videos, restaurants, recipes, and more. DM for credit/removal. Subscribe for Weekly Recipes. Advertise here? link in bio 🤝",https://i.ibb.co/1GrtDKm7/Food-Pleaser-logo.jpg,1500000,0,0,,NSBLL,2
82,05.04.26 08:03,"BREAKING: 5 dead, 11 injured in a high-school shooting in the US, manhunt underway for suspect, US officials say.",https://i.ibb.co/h14VpNG7/RS-Shooting-1.jpg,,1300,105,121,Reuters,Reuters,"Top and breaking news, pictures and videos from Reuters. For breaking business news, follow @ReutersBiz. Our daily podcast is here: http://rwn.app.link/social",https://i.ibb.co/V001V6dq/Reuters.jpg,25700000,0,0,,NSBLL,3
83,05.04.26 08:04,Get ready for a flavor-filled cooking adventure at one of our many locations nationwide! Reserve your spot for an activity full of excitement.,https://i.ibb.co/fdV3f2BC/RS-Neutral-ad-1.jpg,,745,89,34,Eventsy,Eventsy,For all your events,https://i.ibb.co/twtsThHs/Brand-1-Eventsy-logo.png,126000,0,1,,NSBLL,4
84,05.04.26 08:04,An investment in knowledge always pays the best interest. - Benjamin Franklin,,,32,10,2,Great Minds Quotes,GreatestQuotes,"A collection of quotes that will challenge, motivate and inspire you. Compiled by Sinéad Duffy",https://i.ibb.co/mCJ2Yymb/Great-Minds-Quotes-logo.png,3800000,0,0,,NSBLL,5
85,05.04.26 08:05,"Today's #RecordOfTheDay Record is ""Tell Me"" by Louis Oliver  https://bit.ly/4qbYvy0",https://i.ibb.co/G3ng37Rt/Record-of-the-Day-post-1.jpg,,0,0,0,Record of the Day,RecordOfTheDay,In tune. Informed. Indispensable. Essential music industry news and a future hit every day. Take a free trial to discover more.,https://i.ibb.co/7NCgdGRC/Record-of-the-Day-logo.jpg,24700,0,0,,NSBLL,6
86,05.04.26 08:06,What's the most underrated food city?,,,10,4,9,Tripadvisor,Tripadvisor,"Whatever trip you’re planning, we’ve been there.",https://i.ibb.co/PspKB3MJ/Tripadvisor-logo.jpg,3000000,0,0,,NSBLL,7
87,05.04.26 08:06,This dog just gave birth to 9 puppies. This is her proud face. Please send her your love. ❤️,https://i.ibb.co/j97MVhMy/Tweets-of-Dogs-post-1.jpg,,1300,105,121,Tweets of Dogs,TweeetsOfDogs,"Welcome to the ""Tweets of Dogs"" This is a place to share your animal love!",https://i.ibb.co/yBV4YwR6/Tweets-of-Dogs-logo.jpg,152800,0,0,,NSBLL,8
88,05.04.26 08:02,"In this image from our archive, winter creates a landscape of frosty perfection in the High Peaks region of Adirondack Park, New York.",https://i.ibb.co/Vpc03G2f/National-Geographic-post-2.jpg,,538,100,23,National Geographic,NatGeo,Inspiring the explorer in everyone 🌎,https://i.ibb.co/rKDyYRmM/National-Geographic-logo.jpg,27600000,0,0,,NSBHL,1
89,05.04.26 08:03,Garlic Parmesan Shrimp Bake 🍤,https://i.ibb.co/JW0PF3Wy/Food-Pleaser-post-2.jpg,,630,73,14,Food Pleaser,FoodPleaser,"Pleaser of the Palate. Food photos & videos, restaurants, recipes, and more. DM for credit/removal. Subscribe for Weekly Recipes. Advertise here? link in bio 🤝",https://i.ibb.co/1GrtDKm7/Food-Pleaser-logo.jpg,1500000,0,0,,NSBHL,2
90,05.04.26 08:03,"BREAKING: 5 dead, 11 injured in a high-school shooting in France, manhunt underway for suspect, French officials say.",https://i.ibb.co/h14VpNG7/RS-Shooting-1.jpg,,1300,105,121,Reuters,Reuters,"Top and breaking news, pictures and videos from Reuters. For breaking business news, follow @ReutersBiz. Our daily podcast is here: http://rwn.app.link/social",https://i.ibb.co/V001V6dq/Reuters.jpg,25700000,0,0,,NSBHL,3
91,05.04.26 08:04,Get ready for a flavor-filled cooking adventure at one of our many locations nationwide! Reserve your spot for an activity full of excitement.,https://i.ibb.co/fdV3f2BC/RS-Neutral-ad-1.jpg,,745,89,34,Eventsy,Eventsy,For all your events,https://i.ibb.co/twtsThHs/Brand-1-Eventsy-logo.png,126000,0,1,,NSBHL,4
92,05.04.26 08:04,An investment in knowledge always pays the best interest. - Benjamin Franklin,,,32,10,2,Great Minds Quotes,GreatestQuotes,"A collection of quotes that will challenge, motivate and inspire you. Compiled by Sinéad Duffy",https://i.ibb.co/mCJ2Yymb/Great-Minds-Quotes-logo.png,3800000,0,0,,NSBHL,5
93,05.04.26 08:05,"Today's #RecordOfTheDay Record is ""Tell Me"" by Louis Oliver  https://bit.ly/4qbYvy0",https://i.ibb.co/G3ng37Rt/Record-of-the-Day-post-1.jpg,,0,0,0,Record of the Day,RecordOfTheDay,In tune. Informed. Indispensable. Essential music industry news and a future hit every day. Take a free trial to discover more.,https://i.ibb.co/7NCgdGRC/Record-of-the-Day-logo.jpg,24700,0,0,,NSBHL,6
94,05.04.26 08:06,What's the most underrated food city?,,,10,4,9,Tripadvisor,Tripadvisor,"Whatever trip you’re planning, we’ve been there.",https://i.ibb.co/PspKB3MJ/Tripadvisor-logo.jpg,3000000,0,0,,NSBHL,7
95,05.04.26 08:06,This dog just gave birth to 9 puppies. This is her proud face. Please send her your love. ❤️,https://i.ibb.co/j97MVhMy/Tweets-of-Dogs-post-1.jpg,,1300,105,121,Tweets of Dogs,TweeetsOfDogs,"Welcome to the ""Tweets of Dogs"" This is a place to share your animal love!",https://i.ibb.co/yBV4YwR6/Tweets-of-Dogs-logo.jpg,152800,0,0,,NSBHL,8
96,05.04.26 08:02,"In this image from our archive, winter creates a landscape of frosty perfection in the High Peaks region of Adirondack Park, New York.",https://i.ibb.co/Vpc03G2f/National-Geographic-post-2.jpg,,538,100,23,National Geographic,NatGeo,Inspiring the explorer in everyone 🌎,https://i.ibb.co/rKDyYRmM/National-Geographic-logo.jpg,27600000,0,0,,NSALL,1
97,05.04.26 08:03,Garlic Parmesan Shrimp Bake 🍤,https://i.ibb.co/JW0PF3Wy/Food-Pleaser-post-2.jpg,,630,73,14,Food Pleaser,FoodPleaser,"Pleaser of the Palate. Food photos & videos, restaurants, recipes, and more. DM for credit/removal. Subscribe for Weekly Recipes. Advertise here? link in bio 🤝",https://i.ibb.co/1GrtDKm7/Food-Pleaser-logo.jpg,1500000,0,0,,NSALL,2
98,05.04.26 08:03,Get ready for a flavor-filled cooking adventure at one of our many locations nationwide! Reserve your spot for an activity full of excitement.,https://i.ibb.co/fdV3f2BC/RS-Neutral-ad-1.jpg,,745,89,34,Eventsy,Eventsy,For all your events,https://i.ibb.co/twtsThHs/Brand-1-Eventsy-logo.png,126000,0,1,,NSALL,3
99,05.04.26 08:04,"BREAKING: 5 dead, 11 injured in a high-school shooting in the US, manhunt underway for suspect, US officials say.",https://i.ibb.co/h14VpNG7/RS-Shooting-1.jpg,,1300,105,121,Reuters,Reuters,"Top and breaking news, pictures and videos from Reuters. For breaking business news, follow @ReutersBiz. Our daily podcast is here: http://rwn.app.link/social",https://i.ibb.co/V001V6dq/Reuters.jpg,25700000,0,0,,NSALL,4
100,05.04.26 08:04,An investment in knowledge always pays the best interest. - Benjamin Franklin,,,32,10,2,Great Minds Quotes,GreatestQuotes,"A collection of quotes that will challenge, motivate and inspire you. Compiled by Sinéad Duffy",https://i.ibb.co/mCJ2Yymb/Great-Minds-Quotes-logo.png,3800000,0,0,,NSALL,5
101,05.04.26 08:05,"Today's #RecordOfTheDay Record is ""Tell Me"" by Louis Oliver  https://bit.ly/4qbYvy0",https://i.ibb.co/G3ng37Rt/Record-of-the-Day-post-1.jpg,,0,0,0,Record of the Day,RecordOfTheDay,In tune. Informed. Indispensable. Essential music industry news and a future hit every day. Take a free trial to discover more.,https://i.ibb.co/7NCgdGRC/Record-of-the-Day-logo.jpg,24700,0,0,,NSALL,6
102,05.04.26 08:06,What's the most underrated food city?,,,10,4,9,Tripadvisor,Tripadvisor,"Whatever trip you’re planning, we’ve been there.",https://i.ibb.co/PspKB3MJ/Tripadvisor-logo.jpg,3000000,0,0,,NSALL,7
103,05.04.26 08:06,This dog just gave birth to 9 puppies. This is her proud face. Please send her your love. ❤️,https://i.ibb.co/j97MVhMy/Tweets-of-Dogs-post-1.jpg,,1300,105,121,Tweets of Dogs,TweeetsOfDogs,"Welcome to the ""Tweets of Dogs"" This is a place to share your animal love!",https://i.ibb.co/yBV4YwR6/Tweets-of-Dogs-logo.jpg,152800,0,0,,NSALL,8
104,05.04.26 08:02,"In this image from our archive, winter creates a landscape of frosty perfection in the High Peaks region of Adirondack Park, New York.",https://i.ibb.co/Vpc03G2f/National-Geographic-post-2.jpg,,538,100,23,National Geographic,NatGeo,Inspiring the explorer in everyone 🌎,https://i.ibb.co/rKDyYRmM/National-Geographic-logo.jpg,27600000,0,0,,NSAHL,1
105,05.04.26 08:03,Garlic Parmesan Shrimp Bake 🍤,https://i.ibb.co/JW0PF3Wy/Food-Pleaser-post-2.jpg,,630,73,14,Food Pleaser,FoodPleaser,"Pleaser of the Palate. Food photos & videos, restaurants, recipes, and more. DM for credit/removal. Subscribe for Weekly Recipes. Advertise here? link in bio 🤝",https://i.ibb.co/1GrtDKm7/Food-Pleaser-logo.jpg,1500000,0,0,,NSAHL,2
106,05.04.26 08:03,Get ready for a flavor-filled cooking adventure at one of our many locations nationwide! Reserve your spot for an activity full of excitement.,https://i.ibb.co/fdV3f2BC/RS-Neutral-ad-1.jpg,,745,89,34,Eventsy,Eventsy,For all your events,https://i.ibb.co/twtsThHs/Brand-1-Eventsy-logo.png,126000,0,1,,NSAHL,3
107,05.04.26 08:04,"BREAKING: 5 dead, 11 injured in a high-school shooting in France, manhunt underway for suspect, French officials say.",https://i.ibb.co/h14VpNG7/RS-Shooting-1.jpg,,1300,105,121,Reuters,Reuters,"Top and breaking news, pictures and videos from Reuters. For breaking business news, follow @ReutersBiz. Our daily podcast is here: http://rwn.app.link/social",https://i.ibb.co/V001V6dq/Reuters.jpg,25700000,0,0,,NSAHL,4
108,05.04.26 08:04,An investment in knowledge always pays the best interest. - Benjamin Franklin,,,32,10,2,Great Minds Quotes,GreatestQuotes,"A collection of quotes that will challenge, motivate and inspire you. Compiled by Sinéad Duffy",https://i.ibb.co/mCJ2Yymb/Great-Minds-Quotes-logo.png,3800000,0,0,,NSAHL,5
109,05.04.26 08:05,"Today's #RecordOfTheDay Record is ""Tell Me"" by Louis Oliver  https://bit.ly/4qbYvy0",https://i.ibb.co/G3ng37Rt/Record-of-the-Day-post-1.jpg,,0,0,0,Record of the Day,RecordOfTheDay,In tune. Informed. Indispensable. Essential music industry news and a future hit every day. Take a free trial to discover more.,https://i.ibb.co/7NCgdGRC/Record-of-the-Day-logo.jpg,24700,0,0,,NSAHL,6
110,05.04.26 08:06,What's the most underrated food city?,,,10,4,9,Tripadvisor,Tripadvisor,"Whatever trip you’re planning, we’ve been there.",https://i.ibb.co/PspKB3MJ/Tripadvisor-logo.jpg,3000000,0,0,,NSAHL,7
111,05.04.26 08:06,This dog just gave birth to 9 puppies. This is her proud face. Please send her your love. ❤️,https://i.ibb.co/j97MVhMy/Tweets-of-Dogs-post-1.jpg,,1300,105,121,Tweets of Dogs,TweeetsOfDogs,"Welcome to the ""Tweets of Dogs"" This is a place to share your animal love!",https://i.ibb.co/yBV4YwR6/Tweets-of-Dogs-logo.jpg,152800,0,0,,NSAHL,8
112,05.04.26 08:02,"In this image from our archive, winter creates a landscape of frosty perfection in the High Peaks region of Adirondack Park, New York.",https://i.ibb.co/Vpc03G2f/National-Geographic-post-2.jpg,,538,100,23,National Geographic,NatGeo,Inspiring the explorer in everyone 🌎,https://i.ibb.co/rKDyYRmM/National-Geographic-logo.jpg,27600000,0,0,,NSDLL,1
113,05.04.26 08:03,Garlic Parmesan Shrimp Bake 🍤,https://i.ibb.co/JW0PF3Wy/Food-Pleaser-post-2.jpg,,630,73,14,Food Pleaser,FoodPleaser,"Pleaser of the Palate. Food photos & videos, restaurants, recipes, and more. DM for credit/removal. Subscribe for Weekly Recipes. Advertise here? link in bio 🤝",https://i.ibb.co/1GrtDKm7/Food-Pleaser-logo.jpg,1500000,0,0,,NSDLL,2
114,05.04.26 08:03,"BREAKING: 5 dead, 11 injured in a high-school shooting in the US, manhunt underway for suspect, US officials say.",https://i.ibb.co/h14VpNG7/RS-Shooting-1.jpg,,1300,105,121,Reuters,Reuters,"Top and breaking news, pictures and videos from Reuters. For breaking business news, follow @ReutersBiz. Our daily podcast is here: http://rwn.app.link/social",https://i.ibb.co/V001V6dq/Reuters.jpg,25700000,0,0,,NSDLL,3
115,05.04.26 08:04,An investment in knowledge always pays the best interest. - Benjamin Franklin,,,32,10,2,Great Minds Quotes,GreatestQuotes,"A collection of quotes that will challenge, motivate and inspire you. Compiled by Sinéad Duffy",https://i.ibb.co/mCJ2Yymb/Great-Minds-Quotes-logo.png,3800000,0,0,,NSDLL,4
116,05.04.26 08:04,"Today's #RecordOfTheDay Record is ""Tell Me"" by Louis Oliver  https://bit.ly/4qbYvy0",https://i.ibb.co/G3ng37Rt/Record-of-the-Day-post-1.jpg,,0,0,0,Record of the Day,RecordOfTheDay,In tune. Informed. Indispensable. Essential music industry news and a future hit every day. Take a free trial to discover more.,https://i.ibb.co/7NCgdGRC/Record-of-the-Day-logo.jpg,24700,0,0,,NSDLL,5
117,05.04.26 08:05,Get ready for a flavor-filled cooking adventure at one of our many locations nationwide! Reserve your spot for an activity full of excitement.,https://i.ibb.co/fdV3f2BC/RS-Neutral-ad-1.jpg,,745,89,34,Eventsy,Eventsy,For all your events,https://i.ibb.co/twtsThHs/Brand-1-Eventsy-logo.png,126000,0,1,,NSDLL,6
118,05.04.26 08:06,What's the most underrated food city?,,,10,4,9,Tripadvisor,Tripadvisor,"Whatever trip you’re planning, we’ve been there.",https://i.ibb.co/PspKB3MJ/Tripadvisor-logo.jpg,3000000,0,0,,NSDLL,7
119,05.04.26 08:06,This dog just gave birth to 9 puppies. This is her proud face. Please send her your love. ❤️,https://i.ibb.co/j97MVhMy/Tweets-of-Dogs-post-1.jpg,,1300,105,121,Tweets of Dogs,TweeetsOfDogs,"Welcome to the ""Tweets of Dogs"" This is a place to share your animal love!",https://i.ibb.co/yBV4YwR6/Tweets-of-Dogs-logo.jpg,152800,0,0,,NSDLL,8
120,05.04.26 08:02,"In this image from our archive, winter creates a landscape of frosty perfection in the High Peaks region of Adirondack Park, New York.",https://i.ibb.co/Vpc03G2f/National-Geographic-post-2.jpg,,538,100,23,National Geographic,NatGeo,Inspiring the explorer in everyone 🌎,https://i.ibb.co/rKDyYRmM/National-Geographic-logo.jpg,27600000,0,0,,NSDHL,1
121,05.04.26 08:03,Garlic Parmesan Shrimp Bake 🍤,https://i.ibb.co/JW0PF3Wy/Food-Pleaser-post-2.jpg,,630,73,14,Food Pleaser,FoodPleaser,"Pleaser of the Palate. Food photos & videos, restaurants, recipes, and more. DM for credit/removal. Subscribe for Weekly Recipes. Advertise here? link in bio 🤝",https://i.ibb.co/1GrtDKm7/Food-Pleaser-logo.jpg,1500000,0,0,,NSDHL,2
122,05.04.26 08:03,"BREAKING: 5 dead, 11 injured in a high-school shooting in France, manhunt underway for suspect, French officials say.",https://i.ibb.co/h14VpNG7/RS-Shooting-1.jpg,,1300,105,121,Reuters,Reuters,"Top and breaking news, pictures and videos from Reuters. For breaking business news, follow @ReutersBiz. Our daily podcast is here: http://rwn.app.link/social",https://i.ibb.co/V001V6dq/Reuters.jpg,25700000,0,0,,NSDHL,3
123,05.04.26 08:04,An investment in knowledge always pays the best interest. - Benjamin Franklin,,,32,10,2,Great Minds Quotes,GreatestQuotes,"A collection of quotes that will challenge, motivate and inspire you. Compiled by Sinéad Duffy",https://i.ibb.co/mCJ2Yymb/Great-Minds-Quotes-logo.png,3800000,0,0,,NSDHL,4
124,05.04.26 08:04,"Today's #RecordOfTheDay Record is ""Tell Me"" by Louis Oliver  https://bit.ly/4qbYvy0",https://i.ibb.co/G3ng37Rt/Record-of-the-Day-post-1.jpg,,0,0,0,Record of the Day,RecordOfTheDay,In tune. Informed. Indispensable. Essential music industry news and a future hit every day. Take a free trial to discover more.,https://i.ibb.co/7NCgdGRC/Record-of-the-Day-logo.jpg,24700,0,0,,NSDHL,5
125,05.04.26 08:05,Get ready for a flavor-filled cooking adventure at one of our many locations nationwide! Reserve your spot for an activity full of excitement.,https://i.ibb.co/fdV3f2BC/RS-Neutral-ad-1.jpg,,745,89,34,Eventsy,Eventsy,For all your events,https://i.ibb.co/twtsThHs/Brand-1-Eventsy-logo.png,126000,0,1,,NSDHL,6
126,05.04.26 08:06,What's the most underrated food city?,,,10,4,9,Tripadvisor,Tripadvisor,"Whatever trip you’re planning, we’ve been there.",https://i.ibb.co/PspKB3MJ/Tripadvisor-logo.jpg,3000000,0,0,,NSDHL,7
127,05.04.26 08:06,This dog just gave birth to 9 puppies. This is her proud face. Please send her your love. ❤️,https://i.ibb.co/j97MVhMy/Tweets-of-Dogs-post-1.jpg,,1300,105,121,Tweets of Dogs,TweeetsOfDogs,"Welcome to the ""Tweets of Dogs"" This is a place to share your animal love!",https://i.ibb.co/yBV4YwR6/Tweets-of-Dogs-logo.jpg,152800,0,0,,NSDHL,8
128,05.04.26 08:02,"In this image from our archive, winter creates a landscape of frosty perfection in the High Peaks region of Adirondack Park, New York.",https://i.ibb.co/Vpc03G2f/National-Geographic-post-2.jpg,,538,100,23,National Geographic,NatGeo,Inspiring the explorer in everyone 🌎,https://i.ibb.co/rKDyYRmM/National-Geographic-logo.jpg,27600000,0,0,,CNCLL,1
129,05.04.26 08:03,Garlic Parmesan Shrimp Bake 🍤,https://i.ibb.co/JW0PF3Wy/Food-Pleaser-post-2.jpg,,630,73,14,Food Pleaser,FoodPleaser,"Pleaser of the Palate. Food photos & videos, restaurants, recipes, and more. DM for credit/removal. Subscribe for Weekly Recipes. Advertise here? link in bio 🤝",https://i.ibb.co/1GrtDKm7/Food-Pleaser-logo.jpg,1500000,0,0,,CNCLL,2
130,05.04.26 08:03,"Art Deco style is popular again in the US, over a century after its origination.",https://i.ibb.co/spYHYHCH/RS-Neutral-2.jpg,,1300,105,121,Reuters,Reuters,"Top and breaking news, pictures and videos from Reuters. For breaking business news, follow @ReutersBiz. Our daily podcast is here: http://rwn.app.link/social",https://i.ibb.co/V001V6dq/Reuters.jpg,25700000,0,0,,CNCLL,3
131,05.04.26 08:04,Get ready for a fun-filled after school program at one of our many locations nationwide! Reserve your spot for an activity full of excitement.,https://i.ibb.co/ymc1PYBS/RS-Child-ad-1b.jpg,,745,89,34,Eventsy,Eventsy,For all your events,https://i.ibb.co/twtsThHs/Brand-1-Eventsy-logo.png,126000,0,1,,CNCLL,4
132,05.04.26 08:04,An investment in knowledge always pays the best interest. - Benjamin Franklin,,,32,10,2,Great Minds Quotes,GreatestQuotes,"A collection of quotes that will challenge, motivate and inspire you. Compiled by Sinéad Duffy",https://i.ibb.co/mCJ2Yymb/Great-Minds-Quotes-logo.png,3800000,0,0,,CNCLL,5
133,05.04.26 08:05,"Today's #RecordOfTheDay Record is ""Tell Me"" by Louis Oliver  https://bit.ly/4qbYvy0",https://i.ibb.co/G3ng37Rt/Record-of-the-Day-post-1.jpg,,0,0,0,Record of the Day,RecordOfTheDay,In tune. Informed. Indispensable. Essential music industry news and a future hit every day. Take a free trial to discover more.,https://i.ibb.co/7NCgdGRC/Record-of-the-Day-logo.jpg,24700,0,0,,CNCLL,6
134,05.04.26 08:06,What's the most underrated food city?,,,10,4,9,Tripadvisor,Tripadvisor,"Whatever trip you’re planning, we’ve been there.",https://i.ibb.co/PspKB3MJ/Tripadvisor-logo.jpg,3000000,0,0,,CNCLL,7
135,05.04.26 08:06,This dog just gave birth to 9 puppies. This is her proud face. Please send her your love. ❤️,https://i.ibb.co/j97MVhMy/Tweets-of-Dogs-post-1.jpg,,1300,105,121,Tweets of Dogs,TweeetsOfDogs,"Welcome to the ""Tweets of Dogs"" This is a place to share your animal love!",https://i.ibb.co/yBV4YwR6/Tweets-of-Dogs-logo.jpg,152800,0,0,,CNCLL,8
136,05.04.26 08:02,"In this image from our archive, winter creates a landscape of frosty perfection in the High Peaks region of Adirondack Park, New York.",https://i.ibb.co/Vpc03G2f/National-Geographic-post-2.jpg,,538,100,23,National Geographic,NatGeo,Inspiring the explorer in everyone 🌎,https://i.ibb.co/rKDyYRmM/National-Geographic-logo.jpg,27600000,0,0,,CNCHL,1
137,05.04.26 08:03,Garlic Parmesan Shrimp Bake 🍤,https://i.ibb.co/JW0PF3Wy/Food-Pleaser-post-2.jpg,,630,73,14,Food Pleaser,FoodPleaser,"Pleaser of the Palate. Food photos & videos, restaurants, recipes, and more. DM for credit/removal. Subscribe for Weekly Recipes. Advertise here? link in bio 🤝",https://i.ibb.co/1GrtDKm7/Food-Pleaser-logo.jpg,1500000,0,0,,CNCHL,2
138,05.04.26 08:03,"Art Deco style is popular again in France, over a century after its origination.",https://i.ibb.co/spYHYHCH/RS-Neutral-2.jpg,,1300,105,121,Reuters,Reuters,"Top and breaking news, pictures and videos from Reuters. For breaking business news, follow @ReutersBiz. Our daily podcast is here: http://rwn.app.link/social",https://i.ibb.co/V001V6dq/Reuters.jpg,25700000,0,0,,CNCHL,3
139,05.04.26 08:04,Get ready for a fun-filled after school program at one of our many locations nationwide! Reserve your spot for an activity full of excitement.,https://i.ibb.co/ymc1PYBS/RS-Child-ad-1b.jpg,,745,89,34,Eventsy,Eventsy,For all your events,https://i.ibb.co/twtsThHs/Brand-1-Eventsy-logo.png,126000,0,1,,CNCHL,4
140,05.04.26 08:04,An investment in knowledge always pays the best interest. - Benjamin Franklin,,,32,10,2,Great Minds Quotes,GreatestQuotes,"A collection of quotes that will challenge, motivate and inspire you. Compiled by Sinéad Duffy",https://i.ibb.co/mCJ2Yymb/Great-Minds-Quotes-logo.png,3800000,0,0,,CNCHL,5
141,05.04.26 08:05,"Today's #RecordOfTheDay Record is ""Tell Me"" by Louis Oliver  https://bit.ly/4qbYvy0",https://i.ibb.co/G3ng37Rt/Record-of-the-Day-post-1.jpg,,0,0,0,Record of the Day,RecordOfTheDay,In tune. Informed. Indispensable. Essential music industry news and a future hit every day. Take a free trial to discover more.,https://i.ibb.co/7NCgdGRC/Record-of-the-Day-logo.jpg,24700,0,0,,CNCHL,6
142,05.04.26 08:06,What's the most underrated food city?,,,10,4,9,Tripadvisor,Tripadvisor,"Whatever trip you’re planning, we’ve been there.",https://i.ibb.co/PspKB3MJ/Tripadvisor-logo.jpg,3000000,0,0,,CNCHL,7
143,05.04.26 08:06,This dog just gave birth to 9 puppies. This is her proud face. Please send her your love. ❤️,https://i.ibb.co/j97MVhMy/Tweets-of-Dogs-post-1.jpg,,1300,105,121,Tweets of Dogs,TweeetsOfDogs,"Welcome to the ""Tweets of Dogs"" This is a place to share your animal love!",https://i.ibb.co/yBV4YwR6/Tweets-of-Dogs-logo.jpg,152800,0,0,,CNCHL,8
144,05.04.26 08:02,"In this image from our archive, winter creates a landscape of frosty perfection in the High Peaks region of Adirondack Park, New York.",https://i.ibb.co/Vpc03G2f/National-Geographic-post-2.jpg,,538,100,23,National Geographic,NatGeo,Inspiring the explorer in everyone 🌎,https://i.ibb.co/rKDyYRmM/National-Geographic-logo.jpg,27600000,0,0,,CCBLH,1
145,05.04.26 08:03,Garlic Parmesan Shrimp Bake 🍤,https://i.ibb.co/JW0PF3Wy/Food-Pleaser-post-2.jpg,,630,73,14,Food Pleaser,FoodPleaser,"Pleaser of the Palate. Food photos & videos, restaurants, recipes, and more. DM for credit/removal. Subscribe for Weekly Recipes. Advertise here? link in bio 🤝",https://i.ibb.co/1GrtDKm7/Food-Pleaser-logo.jpg,1500000,0,0,,CCBLH,2
146,05.04.26 08:03,"BREAKING: US elementary school teacher arrested in child abuse probe after multiple hospitalizations, US officials say.",https://i.ibb.co/MFRr34r/RS-Child-1.jpg,,1300,105,121,Reuters,Reuters,"Top and breaking news, pictures and videos from Reuters. For breaking business news, follow @ReutersBiz. Our daily podcast is here: http://rwn.app.link/social",https://i.ibb.co/V001V6dq/Reuters.jpg,25700000,0,0,,CCBLH,3
147,05.04.26 08:04,Get ready for a fun-filled after school program at one of our many locations nationwide! Reserve your spot for an activity full of excitement.,https://i.ibb.co/ymc1PYBS/RS-Child-ad-1b.jpg,,745,89,34,Eventsy,Eventsy,For all your events,https://i.ibb.co/twtsThHs/Brand-1-Eventsy-logo.png,126000,0,1,,CCBLH,4
148,05.04.26 08:04,An investment in knowledge always pays the best interest. - Benjamin Franklin,,,32,10,2,Great Minds Quotes,GreatestQuotes,"A collection of quotes that will challenge, motivate and inspire you. Compiled by Sinéad Duffy",https://i.ibb.co/mCJ2Yymb/Great-Minds-Quotes-logo.png,3800000,0,0,,CCBLH,5
149,05.04.26 08:05,"Today's #RecordOfTheDay Record is ""Tell Me"" by Louis Oliver  https://bit.ly/4qbYvy0",https://i.ibb.co/G3ng37Rt/Record-of-the-Day-post-1.jpg,,0,0,0,Record of the Day,RecordOfTheDay,In tune. Informed. Indispensable. Essential music industry news and a future hit every day. Take a free trial to discover more.,https://i.ibb.co/7NCgdGRC/Record-of-the-Day-logo.jpg,24700,0,0,,CCBLH,6
150,05.04.26 08:06,What's the most underrated food city?,,,10,4,9,Tripadvisor,Tripadvisor,"Whatever trip you’re planning, we’ve been there.",https://i.ibb.co/PspKB3MJ/Tripadvisor-logo.jpg,3000000,0,0,,CCBLH,7
